SLOT_START;CROSSBORDER_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_DEMAND_[MW];AT_SETTLEMENTCAPACITY_PRICE_[EUR/MW];AT_IMPORT(-)_EXPORT(+)_[MW];BE_DEMAND_[MW];BE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];BE_IMPORT(-)_EXPORT(+)_[MW];CH_DEMAND_[MW];CH_SETTLEMENTCAPACITY_PRICE_[EUR/MW];CH_IMPORT(-)_EXPORT(+)_[MW];DE_DEMAND_[MW];DE_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DE_IMPORT(-)_EXPORT(+)_[MW];FR_DEMAND_[MW];FR_SETTLEMENTCAPACITY_PRICE_[EUR/MW];FR_IMPORT(-)_EXPORT(+)_[MW];NL_DEMAND_[MW];NL_SETTLEMENTCAPACITY_PRICE_[EUR/MW];NL_IMPORT(-)_EXPORT(+)_[MW];SI_DEMAND_[MW];SI_SETTLEMENTCAPACITY_PRICE_[EUR/MW];SI_IMPORT(-)_EXPORT(+)_[MW];DK_DEMAND_[MW];DK_SETTLEMENTCAPACITY_PRICE_[EUR/MW];DK_IMPORT(-)_EXPORT(+)_[MW]
2020-07-13 10:00:00+00:00;14.64;68.0;14.64;15.0;78.0;46.28;-54.0;65.0;14.64;98.0;573.0;14.64;-18.0;516.0;14.64;36.0;113.0;14.64;-77.0;-;-;-;-;-;-
2020-07-13 14:00:00+00:00;19.2;68.0;19.2;-7.0;78.0;45.7;-54.0;65.0;11.2;100.0;573.0;19.2;-6.0;516.0;19.2;44.0;113.0;19.2;-77.0;-;-;-;-;-;-
2020-07-13 18:00:00+00:00;12.32;68.0;12.32;-22.0;78.0;68.06;-54.0;65.0;12.32;83.0;573.0;12.32;-15.0;516.0;12.32;80.0;113.0;12.32;-72.0;-;-;-;-;-;-
2020-07-13 22:00:00+00:00;17.04;68.0;17.04;17.0;78.0;33.97;-54.0;65.0;17.04;63.0;573.0;17.04;-59.0;516.0;17.04;90.0;113.0;250.0;-57.0;-;-;-;-;-;-
2020-07-14 02:00:00+00:00;15.0;68.0;15.0;9.0;78.0;35.89;-54.0;65.0;15.0;62.0;573.0;15.0;-42.0;516.0;15.0;87.0;113.0;250.0;-62.0;-;-;-;-;-;-
2020-07-14 06:00:00+00:00;12.4;68.0;12.4;-4.0;78.0;57.33;-54.0;65.0;9.6;100.0;573.0;12.4;-64.0;516.0;12.4;84.0;113.0;250.0;-62.0;-;-;-;-;-;-
2020-07-14 10:00:00+00:00;11.0;68.0;11.0;-5.0;78.0;40.84;-54.0;65.0;11.0;84.0;573.0;11.0;-19.0;516.0;11.0;56.0;113.0;250.0;-62.0;-;-;-;-;-;-
2020-07-14 14:00:00+00:00;14.72;68.0;14.72;-12.0;78.0;49.63;-54.0;65.0;11.11;101.0;573.0;14.72;-22.0;516.0;14.72;50.0;113.0;250.0;-62.0;-;-;-;-;-;-
2020-07-14 18:00:00+00:00;12.8;68.0;12.8;-6.0;78.0;68.8;-54.0;65.0;9.4;100.0;573.0;12.8;-54.0;516.0;12.8;72.0;113.0;250.0;-57.0;-;-;-;-;-;-
2020-07-14 22:00:00+00:00;20.96;68.0;20.96;50.0;78.0;37.56;-54.0;65.0;16.4;100.0;573.0;20.96;-52.0;516.0;20.96;14.0;113.0;179.69;-57.0;-;-;-;-;-;-
2020-07-15 02:00:00+00:00;16.04;68.0;16.04;15.0;78.0;37.3;-54.0;65.0;16.04;89.0;573.0;16.04;-27.0;516.0;16.04;34.0;113.0;222.94;-57.0;-;-;-;-;-;-
2020-07-15 06:00:00+00:00;13.0;68.0;13.0;-3.0;78.0;63.58;-54.0;65.0;13.0;100.0;573.0;13.0;-58.0;516.0;13.0;72.0;113.0;312.25;-57.0;-;-;-;-;-;-
2020-07-15 10:00:00+00:00;11.0;68.0;11.0;-5.0;78.0;48.73;-54.0;65.0;10.7;100.0;573.0;11.0;16.0;516.0;11.0;0.0;113.0;235.31;-57.0;-;-;-;-;-;-
2020-07-15 14:00:00+00:00;15.0;68.0;15.0;4.0;78.0;59.21;-54.0;65.0;15.0;80.0;573.0;15.0;-31.0;516.0;15.0;58.0;113.0;271.19;-57.0;-;-;-;-;-;-
2020-07-15 18:00:00+00:00;15.0;68.0;15.0;15.0;78.0;74.59;-54.0;65.0;13.6;78.0;573.0;15.0;-43.0;516.0;15.0;61.0;113.0;290.75;-57.0;-;-;-;-;-;-
2020-07-15 22:00:00+00:00;20.17;68.0;20.17;27.0;78.0;37.9;-54.0;65.0;16.4;87.0;573.0;20.17;-19.0;516.0;20.17;19.0;113.0;156.98;-60.0;-;-;-;-;-;-
2020-07-16 02:00:00+00:00;19.47;68.0;19.47;15.0;78.0;38.19;-54.0;65.0;17.67;99.0;573.0;19.47;-39.0;516.0;19.47;40.0;113.0;180.8;-60.0;-;-;-;-;-;-
2020-07-16 06:00:00+00:00;12.8;68.0;12.8;-10.0;78.0;63.61;-54.0;65.0;12.8;88.0;573.0;12.8;-21.0;516.0;12.8;57.0;113.0;223.71;-60.0;-;-;-;-;-;-
2020-07-16 10:00:00+00:00;12.25;68.0;12.25;10.0;78.0;49.04;-54.0;65.0;12.25;77.0;573.0;12.25;-18.0;516.0;12.25;45.0;113.0;175.79;-60.0;-;-;-;-;-;-
2020-07-16 14:00:00+00:00;15.24;68.0;15.24;17.0;78.0;56.08;-54.0;65.0;15.24;62.0;573.0;15.24;-16.0;516.0;15.24;51.0;113.0;213.93;-60.0;-;-;-;-;-;-
2020-07-16 18:00:00+00:00;15.84;68.0;15.84;18.0;78.0;72.48;-54.0;65.0;15.84;97.0;573.0;15.84;-65.0;516.0;15.84;64.0;113.0;219.31;-60.0;-;-;-;-;-;-
2020-07-16 22:00:00+00:00;22.16;68.0;22.16;23.0;78.0;38.56;-54.0;65.0;16.5;100.0;573.0;22.16;14.0;516.0;22.16;-11.0;113.0;22.16;-72.0;-;-;-;-;-;-
2020-07-17 02:00:00+00:00;21.43;68.0;21.43;5.0;78.0;40.04;-54.0;65.0;18.46;102.0;573.0;21.43;4.0;516.0;21.43;17.0;113.0;21.43;-72.0;-;-;-;-;-;-
2020-07-17 06:00:00+00:00;16.5;68.0;16.5;33.0;78.0;68.04;-54.0;65.0;12.0;101.0;573.0;16.5;-47.0;516.0;16.5;40.0;113.0;16.5;-72.0;-;-;-;-;-;-
2020-07-17 10:00:00+00:00;14.0;68.0;14.0;33.0;78.0;53.63;-54.0;65.0;10.4;96.0;573.0;14.0;-16.0;516.0;14.0;13.0;113.0;14.0;-72.0;-;-;-;-;-;-
2020-07-17 14:00:00+00:00;18.44;68.0;18.44;17.0;78.0;58.59;-54.0;65.0;12.6;100.0;573.0;18.44;-18.0;516.0;18.44;27.0;113.0;18.44;-72.0;-;-;-;-;-;-
2020-07-17 18:00:00+00:00;13.16;68.0;13.16;-9.0;78.0;74.23;-54.0;65.0;11.8;100.0;573.0;13.16;-42.0;516.0;13.16;77.0;113.0;13.16;-72.0;-;-;-;-;-;-
2020-07-17 22:00:00+00:00;18.36;68.0;18.36;-1.0;78.0;41.64;-54.0;65.0;15.2;102.0;573.0;18.36;-38.0;516.0;18.36;65.0;113.0;18.36;-72.0;-;-;-;-;-;-
2020-07-18 02:00:00+00:00;23.44;68.0;23.44;-4.0;78.0;42.54;-54.0;65.0;14.3;100.0;573.0;23.44;-56.0;516.0;23.44;86.0;113.0;23.44;-72.0;-;-;-;-;-;-
2020-07-18 06:00:00+00:00;29.04;68.0;29.04;40.0;78.0;69.55;-54.0;65.0;28.58;100.0;573.0;29.04;-44.0;516.0;29.04;30.0;113.0;29.04;-72.0;-;-;-;-;-;-
2020-07-18 10:00:00+00:00;28.24;68.0;28.24;-4.0;78.0;52.98;-54.0;65.0;14.35;100.0;573.0;28.24;-66.0;516.0;28.24;97.0;113.0;28.24;-73.0;-;-;-;-;-;-
2020-07-18 14:00:00+00:00;27.92;68.0;27.92;11.0;78.0;59.49;-54.0;65.0;22.73;101.0;573.0;27.92;-4.0;516.0;27.92;19.0;113.0;27.92;-72.0;-;-;-;-;-;-
2020-07-18 18:00:00+00:00;25.0;68.0;25.0;-7.0;78.0;74.34;-54.0;65.0;16.31;100.0;573.0;25.0;-24.0;516.0;25.0;57.0;113.0;25.0;-72.0;-;-;-;-;-;-
2020-07-18 22:00:00+00:00;28.22;68.0;28.22;1.0;78.0;40.9;-54.0;65.0;28.22;86.0;573.0;28.22;-48.0;516.0;28.22;87.0;113.0;148.0;-72.0;-;-;-;-;-;-
2020-07-19 02:00:00+00:00;27.92;68.0;27.92;1.0;78.0;36.03;-54.0;65.0;23.04;101.0;573.0;27.92;-68.0;516.0;27.92;93.0;113.0;148.0;-72.0;-;-;-;-;-;-
2020-07-19 06:00:00+00:00;25.77;68.0;25.77;1.0;78.0;70.22;-54.0;65.0;23.51;100.0;573.0;25.77;-75.0;516.0;25.77;100.0;113.0;148.0;-72.0;-;-;-;-;-;-
2020-07-19 10:00:00+00:00;29.2;68.0;29.2;-3.0;78.0;50.85;-54.0;65.0;27.48;100.0;573.0;29.2;-100.0;516.0;29.2;129.0;113.0;148.0;-72.0;-;-;-;-;-;-
2020-07-19 14:00:00+00:00;25.12;68.0;25.12;5.0;78.0;60.45;-54.0;65.0;24.79;100.0;573.0;25.12;-61.0;516.0;25.12;82.0;113.0;148.0;-72.0;-;-;-;-;-;-
